anio;variable;valor_GWh
2017;oferta_termica;88529.7
2018;oferta_termica;87726.8
2019;oferta_termica;21436.2
1992;oferta_hidraulica;19805.0
1993;oferta_hidraulica;23609.2
1994;oferta_hidraulica;27996.0
1995;oferta_hidraulica;28325.9
1996;oferta_hidraulica;25758.1
1997;oferta_hidraulica;32863.6
1998;oferta_hidraulica;32253.2
1999;oferta_hidraulica;26539.4
2000;oferta_hidraulica;33759.9
2001;oferta_hidraulica;41506.6
2002;oferta_hidraulica;41089.5
2003;oferta_hidraulica;38717.5
2004;oferta_hidraulica;35133.3
2005;oferta_hidraulica;39213.2
2006;oferta_hidraulica;42987.0
2007;oferta_hidraulica;37290.0
2008;oferta_hidraulica;36881.9
2009;oferta_hidraulica;40318.3
2010;oferta_hidraulica;40226.4
2011;oferta_hidraulica;39338.9
2012;oferta_hidraulica;36625.9
2013;oferta_hidraulica;40329.6
2014;oferta_hidraulica;40660.3
2015;oferta_hidraulica;39840.4
2016;oferta_hidraulica;36192.0
2017;oferta_hidraulica;39584.0
2018;oferta_hidraulica;39951.6
2019;oferta_hidraulica;8991.7
1992;oferta_nuclear;7091.0
1993;oferta_nuclear;7750.0
1994;oferta_nuclear;8290.0
1995;oferta_nuclear;7118.0
1996;oferta_nuclear;7516.0
1997;oferta_nuclear;8029.0
1998;oferta_nuclear;7437.0
1999;oferta_nuclear;6586.0
2000;oferta_nuclear;5731.0
2001;oferta_nuclear;6541.0
2002;oferta_nuclear;5393.0
2003;oferta_nuclear;7025.0
2004;oferta_nuclear;7313.0
2005;oferta_nuclear;6374.0
2006;oferta_nuclear;7153.0
2007;oferta_nuclear;6721.0
2008;oferta_nuclear;6849.4
2009;oferta_nuclear;7588.7
2010;oferta_nuclear;6691.6
2011;oferta_nuclear;5892.4
2012;oferta_nuclear;5904.5
2013;oferta_nuclear;5732.5
2014;oferta_nuclear;5257.7
2015;oferta_nuclear;6518.5
2016;oferta_nuclear;7677.3
2017;oferta_nuclear;5716.2
2018;oferta_nuclear;6452.9
2019;oferta_nuclear;1028.3
1992;oferta_eolica_solar;0.0
1993;oferta_eolica_solar;0.0
1994;oferta_eolica_solar;0.0
1995;oferta_eolica_solar;0.0
1996;oferta_eolica_solar;0.0
1997;oferta_eolica_solar;0.0
1998;oferta_eolica_solar;0.0
1999;oferta_eolica_solar;0.0
2000;oferta_eolica_solar;0.0
2001;oferta_eolica_solar;0.0
2002;oferta_eolica_solar;0.0
2003;oferta_eolica_solar;0.0
2004;oferta_eolica_solar;0.0
2005;oferta_eolica_solar;0.0
2006;oferta_eolica_solar;0.0
2007;oferta_eolica_solar;0.0
2008;oferta_eolica_solar;0.0
2009;oferta_eolica_solar;0.0
2010;oferta_eolica_solar;0.0
2011;oferta_eolica_solar;16.0
2012;oferta_eolica_solar;356.4
2013;oferta_eolica_solar;462.0
2014;oferta_eolica_solar;848.8
2015;oferta_eolica_solar;2503.6
2016;oferta_eolica_solar;2631.8
2017;oferta_eolica_solar;2634.8
2018;oferta_eolica_solar;3350.2
2019;oferta_eolica_solar;1469.5
1992;oferta_importacion;2267.0
1993;oferta_importacion;1212.0
1994;oferta_importacion;334.0
1995;oferta_importacion;310.0
1996;oferta_importacion;278.0
1997;oferta_importacion;448.0
1998;oferta_importacion;1914.0
1999;oferta_importacion;310.0
2000;oferta_importacion;1011.0
2001;oferta_importacion;1450.0
2002;oferta_importacion;2210.0
2003;oferta_importacion;1234.0
2004;oferta_importacion;1441.0
2005;oferta_importacion;1222.0
2006;oferta_importacion;559.0
2007;oferta_importacion;3459.0
2008;oferta_importacion;1774.2
2009;oferta_importacion;2040.0
2010;oferta_importacion;2351.0
2011;oferta_importacion;2412.2
2012;oferta_importacion;422.8
2013;oferta_importacion;342.3
2014;oferta_importacion;1389.6
2015;oferta_importacion;1654.6
2016;oferta_importacion;1469.9
2017;oferta_importacion;733.9
2018;oferta_importacion;343.5
2019;oferta_importacion;774.9
1992;oferta_total;54054.0
1993;oferta_total;58448.2
1994;oferta_total;62475.7
1995;oferta_total;64687.1
1996;oferta_total;68750.8
1997;oferta_total;73773.9
1998;oferta_total;76489.7
1999;oferta_total;75876.6
2000;oferta_total;83750.0
2001;oferta_total;86007.4
2002;oferta_total;81334.4
2003;oferta_total;86442.4
2004;oferta_total;93285.9
2005;oferta_total;98160.1
2006;oferta_total;104627.0
2007;oferta_total;108482.0
2008;oferta_total;112382.2
2009;oferta_total;111333.1
2010;oferta_total;115734.5
2011;oferta_total;121232.1
2012;oferta_total;125804.4
2013;oferta_total;129819.6
2014;oferta_total;131204.9
2015;oferta_total;136857.1
2016;oferta_total;138069.6
2017;oferta_total;137198.6
2018;oferta_total;137825.1
2019;oferta_total;33700.7
